Feature,Mean SHAP Impact
cat__OverTime_Yes,0.05534861532509025
num__StockOptionLevel,0.0393968860441822
num__Age,0.032104228514794976
num__JobLevel,0.029853426011302614
num__MonthlyIncome,0.029549286770894842
num__TotalWorkingYears,0.026511491961325125
num__YearsWithCurrManager,0.025709566254730924
num__YearsAtCompany,0.025169007430905888
num__NumCompaniesWorked,0.02184534876910775
num__EnvironmentSatisfaction,0.0183747941827798
num__DailyRate,0.018101250093163622
num__DistanceFromHome,0.01726898317280114
cat__MaritalStatus_Single,0.01560612904673163
num__JobSatisfaction,0.015054735641368002
num__YearsInCurrentRole,0.014996525546448937
cat__Department_Sales,0.013517825356549643
cat__BusinessTravel_Travel_Frequently,0.013509107812998982
num__RelationshipSatisfaction,0.010448045240110787
cat__Department_Research & Development,0.01000246196575469
num__HourlyRate,0.009603062679511195
num__EmployeeNumber,0.009564862458775492
num__JobInvolvement,0.009535168214081657
num__WorkLifeBalance,0.009300208992377577
cat__JobRole_Sales Executive,0.008492143045657844
num__MonthlyRate,0.007695042939712936
num__YearsSinceLastPromotion,0.0076652170628580185
cat__JobRole_Laboratory Technician,0.007640995642524742
num__PercentSalaryHike,0.0076287488492075735
cat__JobRole_Research Scientist,0.007237947879672841
num__TrainingTimesLastYear,0.00571143113047254
num__Education,0.004448939642856055
cat__MaritalStatus_Married,0.00437743326770889
cat__JobRole_Sales Representative,0.004355764496577336
cat__Gender_Male,0.002882494990931899
cat__BusinessTravel_Travel_Rarely,0.002646836642147706
cat__EducationField_Medical,0.0024393494741015978
cat__EducationField_Life Sciences,0.0024218391468690337
cat__JobRole_Research Director,0.002383780397123579
cat__JobRole_Manufacturing Director,0.0022495309936645873
cat__EducationField_Technical Degree,0.0021128521135679148
cat__EducationField_Marketing,0.001521915495001958
cat__EducationField_Other,0.0011021734821035929
num__PerformanceRating,0.0010246877809292816
cat__JobRole_Human Resources,0.0008776174021500516
cat__JobRole_Manager,0.0005752695943798731
num__EmployeeCount,0.0
num__StandardHours,0.0
